City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kingston,17.997,-76.7936,303.68,67,20,11.32,JM,1712094353
83,georgetown,5.4112,100.3354,301.11,89,20,1.54,MY,1712094752
84,waitangi,-43.9535,-176.5597,287.49,94,100,2.24,NZ,1712094752
85,vilyuchinsk,52.9306,158.4028,274.3,76,100,3.81,RU,1712094753
86,okha,53.5739,142.9478,266.6,88,95,4.87,RU,1712094753
87,bandundu,-3.3167,17.3667,297.6,82,95,1.41,CD,1712094753
88,nizhnesortymskiy,62.4397,71.7603,274.84,100,100,9.51,RU,1712094753
89,prineville,44.2999,-120.8345,298.97,26,0,4.12,US,1712094753
90,utrik,11.2278,169.8474,299.93,74,100,7.66,MH,1712094754
91,mili,6.0815,171.735,301.24,78,100,7.96,MH,1712094754
92,ust-nera,64.5667,143.2,257.24,92,69,0.88,RU,1712094754
93,ciudad lazaro cardenas,17.9583,-102.2,301.06,64,95,5.94,MX,1712094749
94,baganga,7.5739,126.56,297.68,86,19,2.04,PH,1712094754
95,nuku'alofa,-21.1333,-175.2,300.34,83,75,6.69,TO,1712094701
96,pisco,-13.7,-76.2167,299.18,61,75,6.69,PE,1712094755
97,dudinka,69.4058,86.1778,259.08,90,100,2.24,RU,1712094755
98,lazaro cardenas,17.9583,-102.2,301.06,64,95,5.94,MX,1712094749
99,squamish,49.7014,-123.1512,287.07,92,100,3.6,CA,1712094637
100,nemuro,43.3236,145.575,274.28,68,1,2.88,JP,1712094757
101,bilibino,68.0546,166.4372,254.86,72,5,1.09,RU,1712094757
102,novyy turtkul',41.55,61.0167,281.1,47,8,3.82,UZ,1712094757
103,marang,5.2056,103.2059,300.1,88,72,1.02,MY,1712094758
104,saint-pierre,-21.3393,55.4781,297.97,78,75,13.38,RE,1712094758
105,tiksi,71.6872,128.8694,249.58,95,79,2.51,RU,1712094758
106,kaffrine,14.1059,-15.5508,303.58,26,0,7.71,SN,1712094758
107,queenstown,-31.8976,26.8753,285.38,94,42,1.54,ZA,1712094759
108,lethem,3.3803,-59.7968,308.56,34,99,2.82,GY,1712094759
109,flying fish cove,-10.4217,105.6791,299.97,89,100,4.12,CX,1712094759
110,west island,-12.1568,96.8225,300.14,78,40,3.6,CC,1712094759
111,roxas,11.5853,122.7511,298.23,83,92,4.84,PH,1712094759
112,port moresby,-9.4431,147.1797,299.8,86,100,1.04,PG,1712094760
113,kailua-kona,19.6406,-155.9956,300.13,81,0,4.63,US,1712094760
114,tazovsky,67.4667,78.7,269.11,96,100,7.7,RU,1712094760
115,constantia,44.1833,28.65,286.53,56,97,3.49,RO,1712094727
116,sitka,57.0531,-135.33,279.09,75,75,4.63,US,1712094760
117,avarua,-21.2078,-159.775,302.18,70,75,4.63,CK,1712094761
118,minas de marcona,-15.2119,-75.1103,293.1,67,84,5.14,PE,1712094761
119,hakenfelde,52.561,13.1968,285.38,79,100,4.02,DE,1712094761
120,glace bay,46.1969,-59.957,276.25,94,100,6.17,CA,1712094761
121,yellowknife,62.456,-114.3525,274.49,68,75,5.14,CA,1712094762
122,lev tolstoy,53.2134,39.446,286.33,61,74,7.4,RU,1712094762
123,shiguai,40.7058,110.2856,278.88,42,70,1.44,CN,1712094762
124,selfoss,63.9331,-20.9971,273.17,90,100,4.56,IS,1712094762
125,bayanhongor,46.7167,100.1167,270.38,48,100,1.1,MN,1712094762
126,uturoa,-16.7333,-151.4333,301.6,75,19,8.5,PF,1712094763
127,kilindoni,-7.9139,39.6668,301.08,81,100,4.98,TZ,1712094763
128,san clemente del tuyu,-36.3569,-56.7235,290.92,62,77,6.12,AR,1712094543
129,prado,-17.3411,-39.2208,298.7,88,84,1.47,BR,1712094544
130,askoy,60.4092,5.226,278.57,100,0,1.03,NO,1712094763
131,namibe,-15.1961,12.1522,296.59,77,35,3.2,AO,1712094763
132,carnarvon,-24.8667,113.6333,301.06,42,61,7.61,AU,1712094764
133,lebu,-37.6167,-73.65,286.95,78,100,2.62,CL,1712094625
134,tamanrasset,22.785,5.5228,296.1,9,0,2.06,DZ,1712094764
135,hermanus,-34.4187,19.2345,286.37,82,49,4.15,ZA,1712094764
136,puerto natales,-51.7236,-72.4875,278.4,75,40,7.72,CL,1712094764
137,mount gambier,-37.8333,140.7667,286.49,87,96,2.12,AU,1712094765
138,vila do maio,15.1333,-23.2167,295.59,78,9,8.14,CV,1712094765
139,stanley,54.868,-1.6985,280.92,97,40,1.03,GB,1712094765
140,sinabang,2.4803,96.3801,300.33,80,99,1.0,ID,1712094765
141,san rafael del yuma,18.4299,-68.6739,303.26,65,64,6.32,DO,1712094765
142,al bawiti,28.3492,28.8659,292.58,36,0,4.01,EG,1712094766
143,midvagur,62.0511,-7.1939,275.61,55,75,4.63,FO,1712094766
144,bubaque,11.2833,-15.8333,297.89,73,8,9.49,GW,1712094766
145,ar rutbah,33.0381,40.2848,293.51,26,5,3.1,IQ,1712094766
146,ancud,-41.8697,-73.8203,283.91,79,59,7.19,CL,1712094613
147,whakatane,-37.9585,176.9854,291.97,99,98,1.34,NZ,1712094767
148,pandan,14.0453,124.1694,298.21,81,94,3.73,PH,1712094767
149,yeniseysk,58.4497,92.1703,273.12,100,100,4.02,RU,1712094767
150,raja,8.4596,25.678,304.48,24,99,1.46,SS,1712094768
151,palestine,31.9216,35.2033,293.64,50,0,1.15,PS,1712094769
152,khandud,36.9513,72.318,271.28,84,100,1.69,AF,1712094769
153,callao,-12.0667,-77.15,298.31,65,0,7.2,PE,1712094769
154,lautoka,-17.6167,177.4667,302.07,74,75,1.54,FJ,1712094769
155,thompson,55.7435,-97.8558,275.24,64,100,0.0,CA,1712094769
156,oamaru,-45.0784,170.9801,285.03,89,99,4.61,NZ,1712094771
157,swakopmund,-22.6833,14.5333,288.7,88,0,1.55,NA,1712094771
158,mount pearl,47.5166,-52.7813,274.34,90,75,9.77,CA,1712094771
159,isangel,-19.55,169.2667,299.21,89,75,0.0,VU,1712094768
160,fereydunshahr,32.941,50.121,279.28,52,95,2.01,IR,1712094771
161,ilulissat,69.2167,-51.1,270.16,74,75,2.57,GL,1712094772
162,petropavlovsk-kamchatsky,53.0452,158.6483,273.48,82,75,6.26,RU,1712094772
163,dhuusamarreeb,5.535,46.3861,299.61,76,94,3.1,SO,1712094772
164,trairi,-3.2778,-39.2689,298.94,90,97,1.6,BR,1712094771
165,quimili,-27.6333,-62.4167,293.81,85,100,0.52,AR,1712094772
166,bethel,41.3712,-73.414,280.68,85,100,0.89,US,1712094773
